id,title,flavor,duration,participants,gain_food,gain_inspiration,gain_craft,gain_money,loss_food,loss_inspiration,loss_craft,loss_money,special_rule,tags
C01,"NEA Expansion Bill Passes","A once-in-a-generation arts funding package hits: workshops, juries, and mentor programs multiply overnight.",3,all_players,0,0,0,0,0,0,0,0,"The first time you take Prof Dev each turn, reduce that Prof Dev card's time cost by 1 (min 1). After resolving Prof Dev, gain +1 craft.",policy,grants,education
C02,"‘No Tax on Tips’ Signed","A sweeping tax change makes small payments matter again — every little thank-you lands clean.",4,all_players,0,0,0,0,0,0,0,0,"Whenever you complete a Minor Work, gain +1 money.",policy,tips,economy
C03,"Gig Apps Enter a Price War","Delivery, rides, errands, ‘creative tasks’ — every app is throwing bonuses around to steal workers.",3,all_players,0,0,0,0,0,0,0,0,"When you Go To Work, refund +1 Time after resolving it (effectively Work costs 1 less time; can reduce to 0).",gig,bonuses,work
C04,"Major Platform Cuts Creator Reach","The feed changes. Posts flop. Everyone swears it’s ‘temporary,’ but your numbers don’t agree.",3,all_players,0,0,0,0,0,0,0,0,"When resolving a Social card, reduce any inspiration gained by 1 (min 0).",platforms,algorithm,backlash
C05,"Rent Cap Repealed","The headline is polite. The impact isn’t. Your survival costs jump overnight.",4,all_players,0,0,0,0,0,0,0,0,"At the start of each player's turn, they must either spend 1 money (if able) or lose 1 food.",housing,costofliving,pressure
C06,"Wellness Trend Goes Mainstream","Rest becomes aspirational. ‘Recovery routines’ flood the timeline. People finally schedule downtime.",4,all_players,0,0,0,0,0,0,0,0,"Downtime actions cost +1 extra Time (so 2 total), but their benefits double (+2 instead of +1).",wellness,recovery,habits
C07,"Open-Source AI Studio Released","The tools get scary good — clients want speed, audiences want ‘authenticity,’ and everyone argues online.",4,all_players,0,0,0,0,0,0,0,0,"Whenever you complete a Minor Work, choose: gain +1 money OR gain +1 inspiration. However, whenever you would gain craft from Prof Dev, reduce that craft gain by 1 (min 0).",ai,technology,controversy
C08,"Short-Form Video Craze","Everywhere you look: clips, edits, reels. The culture demands ‘something today.’",4,all_players,0,0,0,0,0,0,0,0,"Whenever you complete a Quick Minor Work, gain +1 inspiration.",shortform,platform,trend
C09,"Convention Season","Pop-up markets, expos, festivals — crowds are out and they’re ready to spend.",3,all_players,0,0,0,0,0,0,0,0,"When resolving a Social card, gain +1 money, then lose 1 food (min 0).",events,conventions,crowds
C10,"Creator Burnout Discourse","The whole internet starts talking about rest. People cancel plans, protect their energy, and log off.",3,all_players,0,0,0,0,0,0,0,0,"When resolving a Social card, reduce any inspiration gained by 1 (min 0). Downtime actions cost 1 (normal) but also grant +1 inspiration.",burnout,rest,culture
C11,"Streaming Service Consolidation","Big mergers. Smaller budgets. Fewer greenlights — but the hits get pushed harder than ever.",3,all_players,0,0,0,0,0,0,0,0,"Whenever you complete a Spotlight Minor Work, gain +2 money. The first time you complete a Quick Minor Work on your turn, gain -1 money from it (min 0).",streaming,industry,consolidation
C12,"BookTok Craze","A single recommendation video can change someone’s whole career. Reading is suddenly ‘cool’ again.",4,author,0,0,0,0,0,0,0,0,"(Author only) Whenever you complete a Minor Work, gain +1 inspiration. If it was a Career or Spotlight Minor Work, also gain +1 money.",booktok,publishing,viral
C13,"Spotify Royalty Model Update","The payout math changes again. Tiny streams matter less — but loyal listeners matter more.",4,musician,0,0,0,0,0,0,0,0,"(Musician only) At the start of your turn, if you have a completed Career Minor Work, gain +1 money. Whenever you complete a Quick Minor Work, gain +1 money.",spotify,royalties,streaming
C14,"Gallery Opening Wave","A wave of openings hits your city. Everyone wants something on the wall — even if it’s just for the party.",4,visual_artist,0,0,0,0,0,0,0,0,"(Visual Artist only) When resolving a Social card, gain +1 money. Whenever you complete a Spotlight Minor Work, gain +1 money.",gallery,openings,collectors
C15,"Festival Deadline Window","Submission deadlines stack up. Everyone’s polishing cuts, rewriting loglines, and exporting at 3AM.",3,filmmaker,0,0,0,0,0,0,0,0,"(Filmmaker only) The first time you take Prof Dev each turn, reduce that Prof Dev card's time cost by 1 (min 1). Whenever you complete a Spotlight Minor Work, gain +1 inspiration.",festivals,submissions,film
C16,"Casting Frenzy","Casting directors go loud: open calls, mass auditions, and a hundred ‘must-see’ reels.",3,actor,0,0,0,0,0,0,0,0,"(Actor only) When you Attend a Social event, refund +1 Time after resolving it (event costs 1 less time; can reduce to 0). Whenever you complete a Quick Minor Work, gain +1 inspiration.",casting,auditions,reels
C17,"Dance Challenge Trend","A new challenge takes over. Everyone’s learning combos, stitching duets, and racing the algorithm.",4,dancer,0,0,0,0,0,0,0,0,"(Dancer only) Whenever you complete a Quick Minor Work, gain +1 inspiration and +1 money.",dance,challenge,viral
